Date,Open,High,Low,Close,Adj Close,Volume
2012-08-10,176.199997,180.000000,174.500000,176.500000,134.954117,10954
2012-08-13,178.000000,178.000000,174.149994,174.949997,133.768951,9309
2012-08-14,176.500000,182.000000,175.899994,180.500000,138.012512,18369
2012-08-16,181.449997,193.600006,181.000000,183.100006,140.000565,58216
2012-08-17,184.500000,185.449997,179.000000,179.649994,137.362595,11194
2012-08-21,178.300003,183.100006,176.100006,180.550003,138.050766,19783
2012-08-22,178.500000,182.000000,172.300003,178.250000,136.292160,806975
2012-08-23,179.050003,181.500000,176.500000,180.000000,137.630234,35228
2012-08-24,180.949997,181.000000,178.699997,180.050003,137.668503,13136
2012-08-27,180.500000,182.500000,177.000000,179.000000,136.865631,63697
2012-08-28,179.000000,182.000000,175.500000,178.300003,136.330429,73232
2012-08-29,179.000000,180.600006,177.100006,180.000000,137.630234,80202
2012-08-30,178.000000,179.000000,176.050003,177.199997,135.489288,3190
2012-08-31,176.250000,184.800003,176.199997,182.250000,139.350632,41629
2012-09-03,182.000000,184.250000,177.250000,180.800003,138.241913,129759
2012-09-04,182.949997,184.899994,178.300003,179.750000,137.439102,141832
2012-09-05,180.000000,180.000000,178.850006,179.399994,137.171448,3298
2012-09-06,179.100006,183.949997,177.600006,183.050003,139.962296,37443
2012-09-07,182.500000,187.899994,182.399994,185.449997,141.797363,25999
2012-09-08,null,null,null,null,null,null
2012-09-10,183.800003,187.250000,181.149994,184.500000,141.070984,47309
2012-09-11,186.649994,192.850006,184.199997,190.399994,145.582199,34118
2012-09-12,193.850006,199.000000,192.000000,195.699997,149.634628,44031
2012-09-13,195.699997,199.500000,195.699997,197.800003,151.240326,21581
2012-09-14,199.000000,199.800003,195.500000,197.350006,150.896301,37356
2012-09-17,198.550003,199.000000,191.500000,192.649994,147.302567,12596
2012-09-18,191.000000,197.000000,191.000000,194.050003,148.373062,15718
2012-09-20,192.300003,197.600006,192.300003,196.600006,150.322830,9860
2012-09-21,195.949997,197.449997,195.000000,196.199997,150.016953,16805
2012-09-24,195.949997,196.000000,193.050003,193.850006,148.220093,10812
2012-09-25,193.000000,195.699997,192.000000,193.800003,148.181900,8168
2012-09-26,192.949997,195.850006,187.800003,189.949997,145.238129,74079
2012-09-27,189.649994,191.500000,187.300003,188.449997,144.091187,6778
2012-09-28,190.699997,193.850006,188.600006,191.300003,146.270340,15346
2012-10-01,192.949997,194.000000,189.100006,191.199997,146.193909,39276
2012-10-03,190.000000,193.550003,188.600006,191.500000,146.423294,26042
2012-10-04,192.250000,195.300003,192.000000,193.899994,148.258331,19276
2012-10-05,194.949997,194.949997,188.199997,192.300003,147.034943,13698
2012-10-08,198.000000,200.000000,190.000000,191.500000,146.423294,27264
2012-10-09,192.449997,197.000000,191.199997,192.649994,147.302567,10430
2012-10-10,192.649994,195.000000,190.600006,191.000000,146.040970,13870
2012-10-11,189.500000,192.899994,186.300003,189.199997,144.664688,17555
2012-10-12,194.000000,195.000000,190.250000,191.000000,146.040970,18630
2012-10-15,188.149994,207.699997,188.149994,197.899994,151.316772,688033
2012-10-16,199.949997,200.050003,190.000000,192.000000,146.805618,58074
2012-10-17,193.899994,199.399994,189.000000,194.750000,148.908264,173581
2012-10-18,199.300003,202.750000,195.000000,195.850006,149.749329,74300
2012-10-19,198.199997,198.850006,194.000000,194.399994,148.640686,19583
2012-10-22,194.500000,194.500000,189.000000,190.800003,145.888077,17875
2012-10-23,190.750000,195.649994,190.300003,191.350006,146.308594,5813
2012-10-25,191.500000,194.199997,190.199997,193.199997,147.723099,16096
2012-10-29,189.800003,193.899994,189.800003,191.550003,146.461472,13122
2012-10-30,190.850006,194.899994,186.300003,189.100006,144.588226,23638
2012-10-31,192.000000,193.000000,186.550003,187.949997,143.708923,11660
2012-11-01,187.199997,198.000000,187.199997,195.449997,149.443497,461675
2012-11-02,193.500000,198.000000,191.199997,192.649994,147.302567,5188
2012-11-05,193.000000,196.050003,191.649994,193.800003,148.181900,555341
2012-11-06,195.850006,201.100006,193.550003,200.199997,153.075409,23968
2012-11-07,202.000000,202.500000,195.100006,195.750000,149.672867,8135
2012-11-08,191.500000,197.500000,191.500000,195.399994,149.405243,5249
2012-11-09,196.050003,196.050003,193.199997,193.649994,148.067169,3900
2012-11-11,null,null,null,null,null,null
2012-11-12,195.300003,198.000000,191.250000,192.399994,147.111435,505698
2012-11-15,191.149994,192.949997,189.149994,190.300003,145.505753,3573
2012-11-16,190.000000,199.000000,188.250000,198.949997,152.119614,1099849
2012-11-19,199.399994,210.899994,192.649994,195.399994,149.405243,212754
2012-11-20,195.899994,198.800003,191.100006,192.300003,148.555496,534163
2012-11-21,194.500000,194.500000,188.300003,191.649994,148.053360,17553
2012-11-22,192.000000,192.500000,186.199997,187.399994,144.770142,7405
2012-11-23,188.500000,189.800003,182.399994,187.550003,144.886063,345521
2012-11-26,188.000000,191.399994,185.350006,186.149994,143.804520,19953
2012-11-27,185.050003,189.949997,185.000000,187.600006,144.924652,4718
2012-11-29,187.050003,190.800003,186.600006,187.449997,144.808762,13612
2012-11-30,187.600006,191.449997,187.250000,190.399994,147.087708,20099
2012-12-03,189.949997,193.000000,189.600006,192.199997,148.478226,7983
2012-12-04,192.949997,193.000000,190.500000,191.000000,147.551239,4440
2012-12-05,191.149994,194.500000,191.000000,191.600006,148.014709,33902
2012-12-06,194.699997,200.500000,189.949997,197.750000,152.765732,48339
2012-12-07,197.750000,198.949997,193.550003,196.000000,151.413818,11946
2012-12-10,195.050003,196.699997,192.000000,193.899994,149.791504,13662
2012-12-11,195.000000,197.000000,192.050003,196.949997,152.147720,406468
2012-12-12,200.500000,200.500000,193.649994,196.050003,151.452438,10828
2012-12-13,199.750000,200.350006,193.100006,194.399994,150.177795,3689
2012-12-14,194.899994,196.000000,189.000000,192.600006,148.787262,620975
2012-12-17,193.000000,194.949997,189.500000,190.850006,147.435333,6682
2012-12-18,192.000000,192.000000,190.000000,190.250000,146.971817,4850
2012-12-19,192.000000,194.350006,189.500000,190.100006,146.855957,4451
2012-12-20,189.000000,192.949997,187.350006,189.600006,146.469711,4724
2012-12-21,192.399994,192.399994,180.000000,181.750000,140.405441,23488
2012-12-24,181.000000,182.949997,177.949997,178.449997,137.856094,8872
2012-12-26,177.250000,181.899994,176.350006,178.800003,138.126480,11944
2012-12-27,179.199997,183.000000,178.000000,179.550003,138.705902,5516
2012-12-28,177.000000,181.949997,175.500000,178.649994,138.010574,8345
2012-12-31,180.000000,180.000000,177.550003,179.449997,138.628662,3378
2013-01-01,180.149994,182.949997,180.149994,181.699997,140.366776,1422
2013-01-02,180.149994,183.949997,180.100006,183.050003,141.409683,2995
2013-01-03,183.000000,183.600006,181.000000,182.600006,141.062073,4520
2013-01-04,182.000000,182.000000,177.600006,178.850006,138.165131,8657
2013-01-07,180.000000,181.100006,177.250000,178.850006,138.165131,5982
2013-01-08,177.250000,181.500000,177.250000,180.750000,139.632904,1730
2013-01-09,182.000000,183.000000,181.050003,182.149994,140.714432,18974
2013-01-10,181.100006,183.199997,181.000000,183.000000,141.371033,19904
2013-01-11,186.649994,186.649994,180.149994,182.750000,141.177933,6619
2013-01-14,182.550003,185.949997,182.399994,183.199997,141.525589,18813
2013-01-15,184.949997,184.949997,181.500000,183.449997,141.718719,13289
2013-01-16,184.449997,187.500000,182.300003,184.199997,142.298096,15784
2013-01-17,186.000000,189.000000,177.449997,178.449997,137.856094,74473
2013-01-18,181.750000,183.899994,176.000000,177.050003,136.774597,30558
2013-01-21,180.050003,180.050003,173.250000,174.550003,134.843292,29912
2013-01-22,174.550003,176.500000,171.000000,175.350006,135.461288,16834
2013-01-23,174.000000,177.750000,172.350006,175.600006,135.654434,9257
2013-01-24,174.000000,175.149994,167.000000,172.850006,133.529999,13348
2013-01-25,173.350006,175.500000,166.350006,173.050003,133.684525,11081
2013-01-28,172.550003,175.000000,170.149994,173.350006,133.916245,2305
2013-01-29,174.399994,177.600006,171.550003,175.100006,135.268188,6754
